CHR	START	END	URL_PREFIX
1	1	3000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_1_3000001
1	1000001	4000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_1000001_4000001
1	2000001	5000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_2000001_5000001
1	3000001	6000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_3000001_6000001
1	4000001	7000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_4000001_7000001
1	5000001	8000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_5000001_8000001
1	6000001	9000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_6000001_9000001
1	7000001	10000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_7000001_10000001
1	8000001	11000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_8000001_11000001
1	9000001	12000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_9000001_12000001
1	10000001	13000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_10000001_13000001
1	11000001	14000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_11000001_14000001
1	12000001	15000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_12000001_15000001
1	13000001	16000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_13000001_16000001
1	14000001	17000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_14000001_17000001
1	15000001	18000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_15000001_18000001
1	16000001	19000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_16000001_19000001
1	17000001	20000001	https://broad-alkesgroup-ukbb-ld.s3.amazonaws.com/UKBB_LD/chr1_17000001_20000001
